ERTT  RTT
324.51  326.10
311.45  309.14
302.16  300.52
314.96  317.22
299.18  296.39
298.89  298.84
301.99  302.54
303.68  303.98
302.75  302.58
313.42  315.31
297.39  294.56
299.42  299.78
311.12  313.18
303.31  301.93
295.86  294.55
298.63  299.12
296.31  295.90
311.06  313.66
304.04  302.80
294.65  292.99
343.77  352.44
324.45  321.04
304.30  300.74
307.36  307.91
319.05  321.12
306.06  303.77
299.94  298.86
PktLossProb para alpha: 0.15 y n: 150 = 0.0466666666667
Throughput para alpha: 0.15 y n: 150 = 22.5325819439
-----------------
ERTT  RTT
205.77  293.96
278.82  310.12
337.05  362.01
317.01  308.42
308.78  305.26
340.00  353.38
309.58  296.55
321.48  326.58
324.36  325.60
311.31  305.71
299.94  295.06
323.19  333.15
308.17  301.73
313.38  315.61
301.53  296.45
300.12  299.52
296.82  295.40
296.58  296.48
296.73  296.80
294.12  293.00
309.26  315.75
298.20  293.46
300.49  301.46
304.31  305.95
306.74  307.78
305.69  305.25
299.92  297.45
304.48  306.43
297.45  294.44
327.85  340.88
310.81  303.51
313.60  314.79
304.19  300.16
334.86  348.00
349.09  355.19
345.38  343.79
350.13  352.17
330.30  321.80
328.45  327.65
307.57  298.62
297.78  293.59
301.91  303.68
304.38  305.43
297.41  294.43
312.34  318.74
313.59  314.13
315.32  316.06
314.61  314.30
303.74  299.09
298.87  296.78
295.60  294.20
307.76  312.97
300.48  297.36
304.11  305.67
359.55  383.31
317.15  298.98
302.98  296.90
301.15  300.36
337.61  353.24
308.86  296.54
302.23  299.39
308.54  311.25
326.77  334.58
332.44  334.87
308.44  298.16
323.03  329.29
304.29  296.26
297.41  294.46
295.43  294.58
294.59  294.23
302.74  306.23
299.45  298.04
299.77  299.90
316.02  322.98
303.38  297.97
305.12  305.87
299.79  297.50
296.07  294.47
296.46  296.63
295.45  295.01
301.51  304.11
303.32  304.09
298.48  296.41
297.82  297.54
298.52  298.83
311.75  317.42
313.44  314.16
309.41  307.68
301.61  298.27
313.61  318.76
342.93  355.49
316.86  305.69
302.43  296.24
301.98  301.79
321.45  329.79
310.45  305.73
304.47  301.91
300.71  299.10
337.61  353.43
332.59  330.45
305.71  294.19
297.69  294.25
307.93  312.33
300.54  297.37
306.52  309.07
319.24  324.70
359.98  377.44
319.12  301.61
304.83  298.71
307.24  308.27
321.53  327.65
303.47  295.73
300.10  298.65
303.87  305.48
320.83  328.10
316.02  313.96
323.07  326.10
313.32  309.14
304.36  300.52
313.36  317.22
301.48  296.39
299.63  298.84
301.66  302.54
303.29  303.98
302.80  302.58
311.55  315.31
299.66  294.56
299.74  299.78
309.15  313.18
304.09  301.93
297.41  294.55
298.61  299.12
296.71  295.90
308.57  313.66
304.53  302.80
296.45  292.99
335.64  352.44
325.42  321.04
308.14  300.74
307.98  307.91
317.17  321.12
307.79  303.77
301.54  298.86
PktLossProb para alpha: 0.3 y n: 150 = 0.0466666666667
Throughput para alpha: 0.3 y n: 150 = 22.4131298521
-----------------
ERTT  RTT
146.98  293.96
228.55  310.12
295.28  362.01
301.85  308.42
303.55  305.26
328.47  353.38
312.51  296.55
319.55  326.58
322.57  325.60
314.14  305.71
304.60  295.06
318.88  333.15
310.31  301.73
312.96  315.61
304.70  296.45
302.11  299.52
298.75  295.40
297.62  296.48
297.21  296.80
295.11  293.00
305.43  315.75
299.45  293.46
300.45  301.46
303.20  305.95
305.49  307.78
305.37  305.25
301.41  297.45
303.92  306.43
299.18  294.44
320.03  340.88
311.77  303.51
313.28  314.79
306.72  300.16
327.36  348.00
341.27  355.19
342.53  343.79
347.35  352.17
334.58  321.80
331.11  327.65
314.87  298.62
304.23  293.59
303.95  303.68
304.69  305.43
299.56  294.43
309.15  318.74
311.64  314.13
313.85  316.06
314.08  314.30
306.58  299.09
301.68  296.78
297.94  294.20
305.45  312.97
301.41  297.36
303.54  305.67
343.42  383.31
321.20  298.98
309.05  296.90
304.71  300.36
328.97  353.24
312.75  296.54
306.07  299.39
308.66  311.25
321.62  334.58
328.24  334.87
313.20  298.16
321.24  329.29
308.75  296.26
301.61  294.46
298.09  294.58
296.16  294.23
301.20  306.23
299.62  298.04
299.76  299.90
311.37  322.98
304.67  297.97
305.27  305.87
301.38  297.50
297.93  294.47
297.28  296.63
296.15  295.01
300.13  304.11
302.11  304.09
299.26  296.41
298.40  297.54
298.61  298.83
308.02  317.42
311.09  314.16
309.38  307.68
303.83  298.27
311.29  318.76
333.39  355.49
319.54  305.69
307.89  296.24
304.84  301.79
317.32  329.79
311.53  305.73
306.72  301.91
302.91  299.10
328.17  353.43
329.31  330.45
311.75  294.19
303.00  294.25
307.66  312.33
302.52  297.37
305.80  309.07
315.25  324.70
346.34  377.44
323.98  301.61
311.34  298.71
309.81  308.27
318.73  327.65
307.23  295.73
302.94  298.65
304.21  305.48
316.16  328.10
315.06  313.96
320.58  326.10
314.86  309.14
307.69  300.52
312.45  317.22
304.42  296.39
301.63  298.84
302.08  302.54
303.03  303.98
302.81  302.58
309.06  315.31
301.81  294.56
300.79  299.78
306.99  313.18
304.46  301.93
299.50  294.55
299.31  299.12
297.61  295.90
305.63  313.66
304.21  302.80
298.60  292.99
325.52  352.44
323.28  321.04
312.01  300.74
309.96  307.91
315.54  321.12
309.65  303.77
304.26  298.86
PktLossProb para alpha: 0.5 y n: 150 = 0.0466666666667
Throughput para alpha: 0.5 y n: 150 = 22.2130035984
-----------------
