ERTT	RTT
351.92	352.52
352.47	352.56
351.94	351.85
352.20	352.25
350.03	349.65
350.40	350.47
354.15	354.81
350.01	349.28
352.80	353.29
361.27	362.76
350.77	348.92
351.82	352.01
353.17	353.40
352.57	352.46
353.38	353.52
352.87	352.78
351.49	351.25
350.51	350.34
350.68	350.70
351.67	351.84
351.25	351.17
351.76	351.85
352.35	352.46
350.96	350.71
352.82	353.15
353.28	353.36
348.75	347.95
351.94	352.50
351.79	351.77
352.28	352.37
351.51	351.37
352.71	352.92
351.21	350.95
352.60	352.85
352.18	352.11
351.63	351.54
348.62	348.09
352.24	352.88
354.54	354.94
360.41	361.45
353.00	351.70
352.17	352.02
352.20	352.21
348.85	348.26
351.75	352.26
PktLossProb para alpha: 0.15 y n: 150 = 0.0
Throughput para alpha: 0.15 y n: 150 = 0.181948854772
-----------------
ERTT	RTT
246.37	351.95
319.90	351.41
347.61	359.48
348.57	348.99
351.54	352.81
349.33	348.38
349.59	349.70
350.25	350.53
515.68	586.59
397.41	346.72
365.77	352.21
354.14	349.16
353.11	352.67
352.31	351.97
351.95	351.80
352.33	352.49
352.05	351.94
351.70	351.55
351.98	352.10
352.09	352.13
352.15	352.18
349.11	347.81
358.23	362.14
353.14	350.95
351.73	351.13
352.59	352.95
351.95	351.68
350.79	350.29
359.79	363.65
355.32	353.40
352.18	350.84
349.85	348.86
350.71	351.07
352.80	353.69
351.58	351.06
352.24	352.52
351.54	351.23
349.31	348.36
351.56	352.52
352.24	352.54
352.61	352.76
351.90	351.59
349.87	349.00
351.93	352.81
352.14	352.23
351.26	350.88
351.76	351.97
349.44	348.44
349.01	348.82
351.02	351.89
351.28	351.39
350.45	350.10
350.57	350.62
351.31	351.63
352.59	353.13
352.81	352.90
352.26	352.03
350.44	349.66
350.40	350.38
349.37	348.93
348.66	348.35
352.67	354.39
351.06	350.37
351.09	351.11
349.24	348.44
349.23	349.23
350.94	351.67
351.07	351.13
352.11	352.55
348.91	347.54
350.88	351.72
349.04	348.25
351.08	351.95
350.29	349.95
349.91	349.74
349.05	348.68
352.02	353.29
348.89	347.55
350.24	350.82
352.03	352.79
351.41	351.14
349.23	348.30
351.28	352.15
351.21	351.18
352.08	352.46
350.93	350.44
350.52	350.34
364.27	370.17
353.78	349.28
353.20	352.96
352.87	352.73
351.11	350.36
351.80	352.09
350.98	350.63
351.16	351.24
350.12	349.67
350.84	351.15
349.50	348.92
352.00	353.07
353.48	354.12
351.44	350.57
353.42	354.27
351.46	350.62
351.19	351.08
349.02	348.09
351.47	352.52
352.23	352.56
351.97	351.85
352.16	352.25
350.40	349.65
350.45	350.47
353.50	354.81
350.54	349.28
352.47	353.29
359.67	362.76
352.15	348.92
352.05	352.01
353.00	353.40
352.62	352.46
353.25	353.52
352.92	352.78
351.75	351.25
350.76	350.34
350.72	350.70
351.51	351.84
351.27	351.17
351.68	351.85
352.22	352.46
351.17	350.71
352.55	353.15
353.12	353.36
349.50	347.95
351.60	352.50
351.72	351.77
352.17	352.37
351.61	351.37
352.53	352.92
351.42	350.95
352.42	352.85
352.20	352.11
351.74	351.54
349.18	348.09
351.77	352.88
353.99	354.94
359.21	361.45
353.95	351.70
352.60	352.02
352.32	352.21
349.48	348.26
351.42	352.26
PktLossProb para alpha: 0.3 y n: 150 = 0.0
Throughput para alpha: 0.3 y n: 150 = 0.182115767504
-----------------
ERTT	RTT
175.98	351.95
263.70	351.41
311.59	359.48
330.29	348.99
341.55	352.81
344.96	348.38
347.33	349.70
348.93	350.53
467.76	586.59
407.24	346.72
379.72	352.21
364.44	349.16
358.55	352.67
355.26	351.97
353.53	351.80
353.01	352.49
352.47	351.94
352.01	351.55
352.06	352.10
352.09	352.13
352.14	352.18
349.97	347.81
356.06	362.14
353.50	350.95
352.32	351.13
352.63	352.95
352.16	351.68
351.22	350.29
357.43	363.65
355.42	353.40
353.13	350.84
350.99	348.86
351.03	351.07
352.36	353.69
351.71	351.06
352.11	352.52
351.67	351.23
350.02	348.36
351.27	352.52
351.90	352.54
352.33	352.76
351.96	351.59
350.48	349.00
351.64	352.81
351.94	352.23
351.41	350.88
351.69	351.97
350.07	348.44
349.45	348.82
350.67	351.89
351.03	351.39
350.56	350.10
350.59	350.62
351.11	351.63
352.12	353.13
352.51	352.90
352.27	352.03
350.96	349.66
350.67	350.38
349.80	348.93
349.08	348.35
351.73	354.39
351.05	350.37
351.08	351.11
349.76	348.44
349.49	349.23
350.58	351.67
350.85	351.13
351.70	352.55
349.62	347.54
350.67	351.72
349.46	348.25
350.71	351.95
350.33	349.95
350.04	349.74
349.36	348.68
351.32	353.29
349.44	347.55
350.13	350.82
351.46	352.79
351.30	351.14
349.80	348.30
350.98	352.15
351.08	351.18
351.77	352.46
351.10	350.44
350.72	350.34
360.44	370.17
354.86	349.28
353.91	352.96
353.32	352.73
351.84	350.36
351.97	352.09
351.30	350.63
351.27	351.24
350.47	349.67
350.81	351.15
349.86	348.92
351.47	353.07
352.79	354.12
351.68	350.57
352.97	354.27
351.79	350.62
351.44	351.08
349.76	348.09
351.14	352.52
351.85	352.56
351.85	351.85
352.05	352.25
350.85	349.65
350.66	350.47
352.73	354.81
351.01	349.28
352.15	353.29
357.46	362.76
353.19	348.92
352.60	352.01
353.00	353.40
352.73	352.46
353.13	353.52
352.96	352.78
352.10	351.25
351.22	350.34
350.96	350.70
351.40	351.84
351.29	351.17
351.57	351.85
352.01	352.46
351.36	350.71
352.25	353.15
352.81	353.36
350.38	347.95
351.44	352.50
351.60	351.77
351.99	352.37
351.68	351.37
352.30	352.92
351.62	350.95
352.24	352.85
352.17	352.11
351.85	351.54
349.97	348.09
351.42	352.88
353.18	354.94
357.32	361.45
354.51	351.70
353.26	352.02
352.74	352.21
350.50	348.26
351.38	352.26
PktLossProb para alpha: 0.5 y n: 150 = 0.0
Throughput para alpha: 0.5 y n: 150 = 0.182139888132
-----------------
