ERTT	RTT
348.36	347.93
351.45	351.99
348.44	347.91
358.24	359.97
346.17	344.04
351.03	351.89
348.43	347.97
344.64	343.97
357.68	359.98
359.63	359.97
370.12	371.98
361.48	359.96
353.39	351.96
358.99	359.98
356.46	356.02
366.27	368.00
357.43	355.88
356.19	355.98
373.01	375.98
351.73	347.97
345.14	343.97
357.75	359.98
349.42	347.95
351.61	352.00
345.08	343.93
350.94	351.97
345.02	343.98
347.54	347.98
351.29	351.95
348.47	347.97
368.48	372.02
357.80	355.92
352.87	352.00
345.26	343.92
357.77	359.97
373.24	375.97
341.56	335.97
347.03	347.99
364.82	367.96
374.29	375.96
351.95	348.01
355.32	355.92
359.28	359.97
349.68	347.98
348.18	347.92
PktLossProb para alpha: 0.15 y n: 150 = 0.0
Throughput para alpha: 0.15 y n: 150 = 0.18381239383
-----------------
ERTT	RTT
254.77	363.96
319.99	347.94
339.58	347.98
359.45	367.96
357.04	356.00
356.28	355.95
350.46	347.97
348.72	347.98
345.40	343.97
366.82	376.01
361.99	359.92
357.79	355.99
350.91	347.95
348.86	347.99
348.21	347.94
348.03	347.95
364.79	371.98
355.81	351.95
347.52	343.97
364.68	372.04
347.32	339.89
347.78	347.97
345.12	343.98
355.50	359.96
350.22	347.96
348.65	347.98
351.09	352.14
354.36	355.77
355.49	355.97
355.83	355.98
350.33	347.97
348.66	347.94
362.16	367.95
355.02	351.96
350.10	347.99
348.57	347.91
350.97	351.99
346.04	343.93
344.60	343.98
358.16	363.97
351.01	347.95
346.09	343.98
350.21	351.97
345.84	343.97
358.54	363.98
356.75	355.98
350.61	347.98
348.75	347.95
351.00	351.97
354.54	356.05
349.89	347.89
348.55	347.97
353.75	355.98
346.90	343.97
344.86	343.98
355.43	359.97
358.62	359.99
353.93	351.93
355.37	355.99
352.98	351.95
355.05	355.94
352.92	352.00
355.02	355.93
361.30	363.98
351.96	347.95
357.55	359.95
348.06	343.99
348.00	347.98
367.60	376.00
381.93	388.08
372.02	367.78
352.37	343.95
343.69	339.97
343.88	343.97
349.55	351.98
345.67	344.00
355.65	359.93
350.28	347.98
348.68	348.00
348.16	347.93
350.83	351.98
346.06	344.01
350.15	351.91
348.62	347.96
348.18	348.00
370.42	379.95
368.76	368.05
368.15	367.89
362.40	359.94
357.90	355.98
350.94	347.96
348.85	347.96
351.06	352.00
357.28	359.95
364.79	368.01
352.98	347.92
360.67	363.96
357.39	355.98
353.58	351.95
355.26	355.97
352.97	351.99
346.65	343.95
347.57	347.96
345.07	344.00
349.88	351.94
348.51	347.93
350.95	351.99
348.82	347.91
356.63	359.97
347.82	344.04
350.67	351.89
348.78	347.97
345.41	343.97
355.61	359.98
358.66	359.97
367.98	371.98
362.36	359.96
355.08	351.96
358.51	359.98
356.76	356.02
364.63	368.00
358.50	355.88
356.73	355.98
370.20	375.98
354.64	347.97
347.17	343.97
356.14	359.98
350.41	347.95
351.52	352.00
346.21	343.93
350.24	351.97
345.86	343.98
347.34	347.98
350.57	351.95
348.75	347.97
365.04	372.02
358.65	355.92
354.00	352.00
346.94	343.92
356.06	359.97
370.00	375.97
346.18	335.97
347.45	347.99
361.81	367.96
371.71	375.96
355.12	348.01
355.68	355.92
358.69	359.97
351.19	347.98
348.90	347.92
PktLossProb para alpha: 0.3 y n: 150 = 0.0
Throughput para alpha: 0.3 y n: 150 = 0.183433574031
-----------------
ERTT	RTT
181.98	363.96
264.96	347.94
306.47	347.98
337.21	367.96
346.61	356.00
351.28	355.95
349.62	347.97
348.80	347.98
346.39	343.97
361.20	376.01
360.56	359.92
358.27	355.99
353.11	347.95
350.55	347.99
349.24	347.94
348.60	347.95
360.29	371.98
356.12	351.95
350.04	343.97
361.04	372.04
350.46	339.89
349.22	347.97
346.60	343.98
353.28	359.96
350.62	347.96
349.30	347.98
350.72	352.14
353.24	355.77
354.61	355.97
355.29	355.98
351.63	347.97
349.79	347.94
358.87	367.95
355.41	351.96
351.70	347.99
349.81	347.91
350.90	351.99
347.42	343.93
345.70	343.98
354.84	363.97
351.39	347.95
347.69	343.98
349.83	351.97
346.90	343.97
355.44	363.98
355.71	355.98
351.84	347.98
349.90	347.95
350.93	351.97
353.49	356.05
350.69	347.89
349.33	347.97
352.65	355.98
348.31	343.97
346.14	343.98
353.06	359.97
356.52	359.99
354.22	351.93
355.11	355.99
353.53	351.95
354.74	355.94
353.37	352.00
354.65	355.93
359.32	363.98
353.64	347.95
356.79	359.95
350.39	343.99
349.19	347.98
362.59	376.00
375.33	388.08
371.55	367.78
357.75	343.95
348.86	339.97
346.41	343.97
349.20	351.98
346.60	344.00
353.26	359.93
350.62	347.98
349.31	348.00
348.62	347.93
350.30	351.98
347.15	344.01
349.53	351.91
348.75	347.96
348.37	348.00
364.16	379.95
366.11	368.05
367.00	367.89
363.47	359.94
359.72	355.98
353.84	347.96
350.90	347.96
351.45	352.00
355.70	359.95
361.85	368.01
354.89	347.92
359.43	363.96
357.70	355.98
354.83	351.95
355.40	355.97
353.69	351.99
348.82	343.95
348.39	347.96
346.20	344.00
349.07	351.94
348.50	347.93
350.25	351.99
349.08	347.91
354.53	359.97
349.28	344.04
350.58	351.89
349.28	347.97
346.62	343.97
353.30	359.98
356.64	359.97
364.31	371.98
362.13	359.96
357.05	351.96
358.51	359.98
357.26	356.02
362.63	368.00
359.25	355.88
357.61	355.98
366.80	375.98
357.38	347.97
350.68	343.97
355.33	359.98
351.64	347.95
351.82	352.00
347.87	343.93
349.92	351.97
346.95	343.98
347.46	347.98
349.71	351.95
348.84	347.97
360.43	372.02
358.17	355.92
355.09	352.00
349.50	343.92
354.74	359.97
365.36	375.97
350.66	335.97
349.33	347.99
358.64	367.96
367.30	375.96
357.65	348.01
356.79	355.92
358.38	359.97
353.18	347.98
350.55	347.92
PktLossProb para alpha: 0.5 y n: 150 = 0.0
Throughput para alpha: 0.5 y n: 150 = 0.182570493704
-----------------
